"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"4100604","2015-09-01T05:28:00","29.44","-39.05",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300909","2015-09-01T05:29:00","24.42","-33.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","272",,,,,,,,,,,,"246","43","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100592","2015-09-01T05:29:00","29.99","-36.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","271",,,,,,,,,,,,"246","96","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300519","2015-09-01T05:30:00","22.76","-39.91",,,"1","4","2","5",,,,"11",,,,,,,,"10160",,,"8",,,,,,"9","277",,,,,,,,,,,,"246","29","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"4100139","2015-09-01T05:33:00","20.01","-37.85",,,"1","5","2","5",,,,"11","5","67",,"46",,,,"10155",,,"8","265",,,,,"9","274",,,,,,,,,,,,"246","7","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,
"1300909","2015-09-01T05:34:00","24.41","-33.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","272",,,,,,,,,,,,"246","43","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100604","2015-09-01T05:36:00","29.44","-39.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300628","2015-09-01T05:37:00","22.50","-35.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","274",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100592","2015-09-01T05:37:00","29.99","-36.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","271",,,,,,,,,,,,"246","96","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100592","2015-09-01T05:40:00","29.99","-36.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","271",,,,,,,,,,,,"246","96","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100604","2015-09-01T05:40:00","29.44","-39.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
