"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"4400837","2015-09-01T06:00:00","29.78","-23.36",,,"1","3","2","5",,,,"11",,,,,,,,"10197","7","2","0",,,,,,,"262",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T06:00:00","25.73","-27.81",,,"1","3","2","5",,,,"11",,,,,,,,"10178","7","3","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T06:00:00","20.40","-23.00",,,"1","4","0","0","0","0","1","1","0","80","1","100","97","2","2","10145","3","2","0","251",,,,"237","3","260","7","7","9","4","A","A",,,,,,"247","3","992","114","5","1","2","1","111111","1111111A111AA1",,"1","2",,,,"1","0","2"
"1300872","2015-09-01T06:50:00","25.51","-27.15",,,"1","3","2","5",,,,"11",,,,,,,,"10183","2","2","0",,,,,,,"261",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400613","2015-09-01T07:00:00","28.07","-29.22",,,"1","3","2","5",,,,"11",,,,,,,,"10182","2","1","0",,,,,,,"265",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T07:00:00","25.67","-27.21",,,"1","3","2","5",,,,"11",,,,,,,,"10176","2","2","0",,,,,,,"260",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T07:00:00","29.77","-23.36",,,"1","3","2","5",,,,"11",,,,,,,,"10201","2","4","0",,,,,,,"261",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T07:00:00","25.73","-27.81",,,"1","3","2","5",,,,"11",,,,,,,,"10177","2","1","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T07:00:00","20.40","-23.00",,,"1","4","0","0","2","0","1","1","0","80","1","90",,,,"10148","1","9","0","251",,,,"235","3","260",,,,"A",,,,,,,,"247","3","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4",,
"1300872","2015-09-01T07:50:00","25.51","-27.15",,,"1","3","2","5",,,,"11",,,,,,,,"10188","2","7","0",,,,,,,"261",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-01T08:00:00","20.45","-23.10",,,"1","4","2","5",,,,"11","0","70","4","77",,,,,,,"0","255",,,"1","250",,"256",,,,,,,,,,,,"247","3","794","103","6","1","2","2","1111F3","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-01T08:00:00","28.07","-29.22",,,"1","3","2","5",,,,"11",,,,,,,,"10186","2","6","0",,,,,,,"265",,,,,,,,,,,,"247","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T08:00:00","25.66","-27.21",,,"1","3","2","5",,,,"11",,,,,,,,"10181","2","6","0",,,,,,,"260",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T08:00:00","29.76","-23.36",,,"1","3","2","5",,,,"11",,,,,,,,"10203","2","8","0",,,,,,,"262",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T08:00:00","25.73","-27.81",,,"1","3","2","5",,,,"11",,,,,,,,"10180","2","4","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T08:00:00","20.20","-23.00",,,"1","4","0","0","4","1","1","1","0","80","1","110",,,,"10148","1","5","0","252",,,,"237","3","260",,,,"A",,,,,,,,"247","3","992","114","5","1","2","2","112111","11AAA11A118AA1",,"6",,,,,"4",,
"1300002","2015-09-01T08:02:00","20.45","-23.10",,,"1","5","2","5",,,,"11",,"70",,"78",,,,,,,"8","255",,,,,"9","256",,,,,,,,,,,,"247","3","798","172","6","0",,"2","1111F3","11AAAA1AA1AAAA",,,,,,,,,
"1300872","2015-09-01T08:50:00","25.50","-27.15",,,"1","3","2","5",,,,"11",,,,,,,,"10194","2","14","0",,,,,,,"260",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400613","2015-09-01T09:00:00","28.06","-29.23",,,"1","3","2","5",,,,"11",,,,,,,,"10188","2","8","0",,,,,,,"265",,,,,,,,,,,,"247","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T09:00:00","25.65","-27.22",,,"1","3","2","5",,,,"11",,,,,,,,"10188","2","13","0",,,,,,,"260",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T09:00:00","29.75","-23.37",,,"1","3","2","5",,,,"11",,,,,,,,"10206","2","9","0",,,,,,,"262",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T09:00:00","25.72","-27.83",,,"1","3","2","5",,,,"11",,,,,,,,"10188","2","10","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T09:00:00","20.10","-23.10",,,"1","4","0","0","4","2","1","1","0","80","1","100","97","2","2","10151","2","6","0","254",,,,"239","3","260","7","5","8","3","3","A","4","3","14","8","4","247","3","992","114","5","1","2","2","111111","1111111A111111",,"1","2",,,,"4",,
"1300872","2015-09-01T09:50:00","25.49","-27.15",,,"1","3","2","5",,,,"11",,,,,,,,"10199","2","16","0",,,,,,,"260",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-01T10:00:00","20.45","-23.10",,,"1","4","2","5",,,,"11","0","80","4","82",,,,,,,"0","254",,,"1","249",,"256",,,,,,,,,,,,"247","3","794","103","6","1","2","2","1111F3","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-01T10:00:00","28.06","-29.23",,,"1","3","2","5",,,,"11",,,,,,,,"10193","2","11","0",,,,,,,"265",,,,,,,,,,,,"247","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T10:00:00","25.65","-27.22",,,"1","3","2","5",,,,"11",,,,,,,,"10192","2","16","0",,,,,,,"260",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T10:00:00","29.75","-23.37",,,"1","3","2","5",,,,"11",,,,,,,,"10214","2","13","0",,,,,,,"263",,,,,,,,,,,,"247","93","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T10:00:00","25.72","-27.83",,,"1","3","2","5",,,,"11",,,,,,,,"10192","2","15","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T10:00:00","20.00","-23.20",,,"1","4","0","0","4","2","1","1","0","90","1","90",,,,"10154","3","6","0","255",,,,"237","3","260",,,,"A",,,,,,,,"247","3","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,"4",,
"1300002","2015-09-01T10:04:00","20.45","-23.10",,,"1","5","2","5",,,,"11","5","76",,"84",,,,,,,"8","254",,,,,"9","256",,,,,,,,,,,,"247","3","798","172","6","0",,"2","1111F3","11AAAA1AA1AAAA",,,,,,,,,
"1300872","2015-09-01T10:50:00","25.49","-27.15",,,"1","3","2","5",,,,"11",,,,,,,,"10202","2","15","0",,,,,,,"261",,,,,,,,,,,,"247","57","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-01T10:57:00","20.46","-23.11",,,"1","5","2","5",,,,"11","5","75",,"71",,,,,,,"8","255",,,,,"9","256",,,,,,,,,,,,"247","3","798","172","6","0",,"2","1111F1","11AAAA1AA1AAAA",,,,,,,,,
"1300002","2015-09-01T11:00:00","20.46","-23.11",,,"1","4","2","5",,,,"11","0","80","4","72",,,,,,,"0","255",,,"1","248",,"256",,,,,,,,,,,,"247","3","794","103","6","1","2","2","1111F1","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-01T11:00:00","28.06","-29.23",,,"1","3","2","5",,,,"11",,,,,,,,"10196","2","11","0",,,,,,,"265",,,,,,,,,,,,"247","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
