"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","IND_FOR_PRECIP"
"WBX9UMX","2022-09-01T00:10:00","22.12","-73.46",,,"1","5","2","5","9",,"1","5","79",,"42",,,,,"10213",,,"8","287",,,,,,,,,,,,,,,,,,,"242","23","798","172","5","0",,"1","F1113F","11AAA11AAAAAAA",,"5",,,,,,,
"4100010","2022-09-01T00:20:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","174",,"25",,,,,"10150",,,"8","293",,,,"250","9","305",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,
"4100047","2022-09-01T00:20:00","27.48","-71.45",,,"1","5","2","5",,,"11",,,,,,,,,"10153",,,"8","283",,,,"227","9","300",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","11FF11","12AAA11A11AAAA",,,,,,,,,
"4100010","2022-09-01T00:30:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","159",,"23",,,,,"10151",,,"8","293",,,,"248","9","305",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,
"4100047","2022-09-01T00:30:00","27.48","-71.45",,,"1","5","2","5",,,"11","5","164",,"8",,,,,"10154",,,"8","283",,,,"227","9","300",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,
"4100010","2022-09-01T00:40:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","159",,"28",,,,,"10151",,,"8","293",,,,"248","9","305",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,
"4100047","2022-09-01T00:40:00","27.48","-71.45",,,"1","5","2","5",,,"11","5","149",,"8",,,,,"10153",,,"8","283",,,,"227","9","300",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,
"4100010","2022-09-01T00:50:00","28.90","-78.50",,,"1","5","2","5",,,"11",,"160","1","30",,,,,"10151",,,"8","293",,,,"247",,,,,,,,,,,"2","12","8","2","242","88","798","172","6","1","2","1","F11111","11AAA11A1AA31A",,,,,,,,,
"4100047","2022-09-01T00:50:00","27.50","-71.50",,,"1","5","2","5",,,"11",,"180","1","10",,,,,"10155",,,"8","283",,,,"227",,,,,,,,,,,"2","9","7","2","242","71","798","172","6","1","2","1","F11111","11AAA11A1AA31A",,,,,,,,,
"1301573","2022-09-01T01:00:00","28.85","-75.39",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,,"242","85","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
