"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2300504","2018-09-02T09:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"DFNB2","2018-09-02T09:00:00","25.10","35.80",,,"1","4","0","0","3","4","1","0","320","4","113",,"97","2","2","10041","6","10","0","340",,,"262","3","290","6","5","7","2","1","A",,"5","5","0",,,"217","55","992","114","5","1","2","2","151111","1111111A111131",,,"1","2","0",,,,,,,,"4"
"2300504","2018-09-02T10:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T11:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"TBWUK75","2018-09-02T11:00:00","27.40","34.80",,,"1","6","2","5","2","1","1",,"230","4","77","1","97",,"1","10043","2","11","8","301",,,"288","7","301","4","4","1","2","2","7",,"4","3",,,,"217","74","798","172","5","1","2","2","111311","111A111A1111A1",,"5",,"1",,,,,,,,,
"2300504","2018-09-02T12:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"7KBS","2018-09-02T12:00:00","21.90","38.30",,,"1","6","2","5","3","3","1",,"330","4","41","1","99","2",,,,,"8","320",,,"281","3","320","7","7","6","5","5","6",,,,,,,"217","18","798","172","5","1","2","2","111161","1111A11A111AAA",,"5",,,,,,,,,,,
"DFNB2","2018-09-02T12:00:00","24.30","36.30",,,"1","6","2","5","3","4","1",,"320","4","93","1","97","2","2","10031","5","13","8","357",,"293","274","3","290","4","4","1","6","7","6",,"8","2","34","5","2","217","46","798","172","5","1","2","2","151111","11111111111111",,"5",,"2",,,,,,,,,
"2300504","2018-09-02T13:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","321",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T14:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","323",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
