"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"1300001","2018-09-01T18:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","222",,"73",,,,,"10106",,,"8","272",,,,"9","270",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T18:00:00","17.18","-28.95",,,"1","3","2","5",,,"11",,,,,,,,,"10077",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"C6NI8","2018-09-01T18:00:00","16.70","-21.70",,,"1","6","2","5","5","3","1",,"140",,"93","1","98","1","0","10107","6","5","8","273","0","262","258","1","263","1","1","1","4","0","0","14","5","2","19","8","5","283","61","798","172","5","1","2","2","111511","11111111111111",,"5",,"0",,,,,,,,,
"D5DS3","2018-09-01T18:00:00","10.80","-25.00",,,"1","5","2","5","5","3","1",,"190","4","118","1","98","1","1","10099","7","11","8","270",,"235","221",,,"5","1","7","4","6","6",,"7","4","35","10","4","283","5","798","172","5","1","2","2","F11511","111111111A1111",,"5",,"1",,,,,,,,,
"PCBZ","2018-09-01T18:00:00","13.80","-22.40",,,"1","4","0","0","1","3","1","0","190","3","103",,"97","3","2",,"6","2","0","278","0","253","244","1","255","7","6","7","3","7","8",,"4","2","17","6","5","283","32","992","114","5","1","2","2","111561","11111111111111",,,"1","2",,,,,,,,,"4"
"1300001","2018-09-01T19:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","215",,"65",,,,,"10111",,,"8","270",,,,"9","269",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T19:00:00","17.18","-28.97",,,"1","3","2","5",,,"11",,,,,,,,,"10078",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-01T20:00:00","11.48","-22.98",,,"1","5","2","5",,,"11",,"220",,"84",,,,,"10111",,,"8","267",,,,"9","268",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T20:00:00","17.18","-28.99",,,"1","3","2","5",,,"11",,,,,,,,,"10079",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-01T21:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","219",,"72",,,,,"10117",,,"8","268",,,,"9","268",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T21:00:00","17.18","-29.01",,,"1","3","2","5",,,"11",,,,,,,,,"10085",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-01T22:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","228",,"64",,,,,"10126",,,"8","267",,,,"9","267",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T22:00:00","17.18","-29.03",,,"1","3","2","5",,,"11",,,,,,,,,"10084",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-01T23:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","228",,"48",,,,,"10132",,,"8","267",,,,"9","267",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T23:00:00","17.19","-29.06",,,"1","3","2","5",,,"11",,,,,,,,,"10085",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-02T00:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","211",,"41",,,,,"10136",,,"8","267",,,,"9","266",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-02T00:00:00","17.19","-29.09",,,"1","3","2","5",,,"11",,,,,,,,,"10087",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"C6NI8","2018-09-02T00:00:00","15.60","-22.20",,,"1","6","2","5","5","3","1",,"190",,"62","1","98","1","0","10133","1","8","8","270","0","255","249","1","266","2","1","A","7","A","1","19","3","5",,,,"283","52","798","172","5","1","2","1","111311","111111111111A1",,"5",,"0",,,,,,,,,
"PCBZ","2018-09-02T00:00:00","14.90","-21.50",,,"1","4","0","0","1","3","1","0","230","4","77",,"99","1","0","10057","4","0","0","235","0","230","228","1","255","1","1","5","6","A","A",,,,,,,"283","41","992","114","5","1","2","1","123141","11111111111AA1",,,"1","0",,,,,,,,,"4"
"1300001","2018-09-02T01:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","226",,"72",,,,,"10127",,,"8","266",,,,"9","266",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-02T01:00:00","17.20","-29.13",,,"1","3","2","5",,,"11",,,,,,,,,"10088",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-02T02:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","224",,"71",,,,,"10122",,,"8","266",,,,"9","267",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-02T02:00:00","17.21","-29.16",,,"1","3","2","5",,,"11",,,,,,,,,"10084",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-02T03:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","231",,"63",,,,,"10118",,,"8","264",,,,"9","266",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-02T03:00:00","17.22","-29.18",,,"1","3","2","5",,,"11",,,,,,,,,"10081",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-02T04:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","232",,"65",,,,,"10117",,,"8","266",,,,"9","266",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-02T04:00:00","17.24","-29.21",,,"1","3","2","5",,,"11",,,,,,,,,"10079",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-02T05:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","233",,"54",,,,,"10119",,,"8","263",,,,"9","266",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-02T05:00:00","17.26","-29.24",,,"1","3","2","5",,,"11",,,,,,,,,"10082",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-02T06:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","245",,"55",,,,,"10119",,,"8","264",,,,"9","266",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-02T06:00:00","17.28","-29.26",,,"1","3","2","5",,,"11",,,,,,,,,"10084",,,,,,,,,,,,,,,,,,,,,,"283","79","798","172","7","0",,"1","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
