"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"EUCDE14","2018-09-02T17:00:00","24.61","119.22",,,"1","5","2","5","5","4","1",,,,,,,,,"10060","7","9","8","272",,,,"252",,,,,,,,,,,,,,,"225","49","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-02T18:00:00","21.57","117.14",,,"1","4","2","5",,,"11",,,,,,,,,"10062",,,"8",,,,,,"9","288",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T18:00:00","24.40","119.00",,,"1","5","2","5","5","4","1",,,,,,,,,"10056","7","12","8","267",,,,"252",,,,,,,,,,,,,,,"225","49","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-02T19:00:00","21.58","117.15",,,"1","4","2","5",,,"11",,,,,,,,,"10060",,,"8",,,,,,"9","290",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T19:00:00","24.21","118.74",,,"1","5","2","5","5","4","1",,,,,,,,,"10054","7","9","8","265",,,,"255",,,,,,,,,,,,,,,"225","48","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-02T20:00:00","21.58","117.17",,,"1","4","2","5",,,"11",,,,,,,,,"10056",,,"8",,,,,,"9","289",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T20:00:00","24.02","118.48",,,"1","5","2","5","5","4","1",,,,,,,,,"10050","7","10","8","259",,,,"254",,,,,,,,,,,,,,,"225","48","798","172","5","0",,"1","F1FF13","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-02T21:00:00","21.57","117.19",,,"1","4","2","5",,,"11",,,,,,,,,"10054",,,"8",,,,,,"9","288",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T21:00:00","23.81","118.22",,,"1","5","2","5","5","4","1",,,,,,,,,"10051","7","4","8","257",,,,"251",,,,,,,,,,,,,,,"225","38","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-02T22:00:00","21.56","117.20",,,"1","4","2","5",,,"11",,,,,,,,,"10056",,,"8",,,,,,"9","286",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T22:00:00","23.61","117.97",,,"1","5","2","5","5","4","1",,,,,,,,,"10057","2","3","8","254",,,,"251",,,,,,,,,,,,,,,"225","37","798","172","5","0",,"1","F1FF13","1AAAA11A1AAAA1",,"5",,,,,,,
