"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"5201628","2018-09-01T15:00:00","25.81","134.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201554","2018-09-01T15:01:00","21.05","130.21",,,"1","4","2","5",,,"11",,,,,,,,,"10072",,,"8",,,,,,"9","292",,,,,,,,,,,,,"227","10","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T15:02:00","24.05","135.41",,,"1","4","2","5",,,"11",,,,,,,,,"10030",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201552","2018-09-01T16:00:00","21.44","137.54",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","271",,,,,,,,,,,,,"227","17","798","172","7","0",,"1","1FFF6F","1AAAA9AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T16:00:00","21.06","130.21",,,"1","4","2","5",,,"11",,,,,,,,,"10066",,,"8",,,,,,"9","292",,,,,,,,,,,,,"227","10","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T16:00:00","28.95","138.97",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","290",,,,,,,,,,,,,"227","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T16:00:00","25.83","134.79",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201553","2018-09-01T16:04:00","24.05","135.40",,,"1","4","2","5",,,"11",,,,,,,,,"10014",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201552","2018-09-01T17:00:00","21.51","137.51",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","269",,,,,,,,,,,,,"227","17","798","172","7","0",,"1","1FFF6F","1AAAA9AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T17:00:00","24.05","135.40",,,"1","4","2","5",,,"11",,,,,,,,,"10012",,,"8",,,,,,"9","290",,,,,,,,,,,,,"227","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
