"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"VRLA5","2016-09-06T12:00:00","11.60","-17.30",,,"1","4","0","0","8","3","1","1","0","140","4","77",,"98","2","2","10153","0","0","0","280","0","250","237","1","300","7","6","7","3","7","8","6","2","18","6","4","284","17","992","114","5","1","2","2","311111","11111111111111",,"1","2",,,,,,,,,"4",,
"IDDEU04","2016-09-06T13:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10128",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T14:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10121",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T15:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10116",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T16:00:00","18.00","-16.10",,,"1","4","0","0",,,,"1",,,,,,,,,"10114",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T17:00:00","18.30","-16.20",,,"1","4","0","0",,,,"1",,,,,,,,,"10114",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T18:00:00","18.50","-16.40",,,"1","4","0","0",,,,"1",,,,,,,,,"10119",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T19:00:00","18.70","-16.50",,,"1","4","0","0",,,,"1",,,,,,,,,"10120",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T20:00:00","18.90","-16.60",,,"1","4","0","0",,,,"1",,,,,,,,,"10124",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T21:00:00","18.90","-16.60",,,"1","4","0","0",,,,"1",,,,,,,,,"10132",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
