"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"OWNT2","2017-09-14T00:00:00","29.00","-120.00",,,"1","6","2","5","3","4",,"1",,"310","4","31","1","98","2","0","10125","6","7","8","235",,"201","181","1","231","0","0","0","9","0","0",,"2","1","30","8","3","237","90","798","172","5","1","2","2","111111","11111111111111","5",,"0",,,,,,
"OWNT2","2017-09-14T06:00:00","27.80","-118.30",,,"1","6","2","5","3","4",,"1",,"320","4","67","1","98","2","1","10142","4","0","8","208",,"192","183","1","244","0","0","0","9","0","0",,"4","1","27","10","4","238","78","798","172","5","1","2","1","111111","11111111111111","5",,"1",,,,,,
"VROX6","2017-09-14T06:00:00","23.80","-111.50",,,"1","4","0","0","7","4",,"1","0","10","3","51",,"98","2","2","10119","1","20","0","270","0","240","228","1","270","6",,"1","2","6","2",,"4","2",,,,"238","31","992","114","5","1","2","1","111111","111111111111A1",,"1","2",,,,,,"4"
"OWNT2","2017-09-14T12:00:00","26.60","-116.70",,,"1","6","2","5","3","4",,"1",,"350","4","103","1","98","3","1","10121","7","4","8","214",,"195","184","1","250","5","5","1","4","0","0",,"3","1","27","9","3","238","66","798","172","5","1","2","1","111111","11111111111111","5",,"1",,,,,,
"OWNT2","2017-09-14T18:00:00","25.40","-115.00",,,"1","6","2","5","3","4",,"1",,"340","4","82","1","98","2","1","10128","4","0","8","245",,"220","207","1","257","5","5","1","4","0","0",,"3","1","26","10","3","238","55","798","172","5","1","2","2","111111","11111111111111","5",,"1",,,,,,
"A8LL9","2017-09-15T00:00:00","26.10","-119.80",,,"1","6","2","5","3","4",,"1",,"10","4","36","1","98","2",,"10140","4","0","8","235",,"190","166","3","225","1","1","1","6","A","A",,"3","1","34","10","2","238","69","798","172","5","1","2","2","111111","1111A111111111","5",,,,,,,,
"CQCU","2017-09-15T00:00:00","25.70","-120.00",,,"1","6","2","5","3","4",,"1",,"10","4","62","1","98","2","0","10142","6","15","8","225",,"190","172","3","220","3","3","1","3","0","0",,"5","1","36","12","3","237","50","798","172","5","1","2","2","111111","11111111111111","5",,"0",,,,,,
"OWNT2","2017-09-15T00:00:00","24.30","-113.30",,,"1","6","2","5","3","4",,"1",,"320","4","62","1","98","3","1","10098","8","10","8","274",,"245","232","1","268","5","5","2","4","0","0",,"3","2","14","8","4","238","43","798","172","5","1","2","2","111111","11111111111111","5",,"1",,,,,,
"CQCU","2017-09-15T03:00:00","25.20","-119.30",,,"1","6","2","5","3","4",,"1",,"360","4","57","1","98","2","0","10145","2","2","8","220",,"195","183","3","220","2",,"1","2","0","0",,"5","1","36","12","3","238","59","798","172","5","1","2","1","111111","11111111111111","5",,"0",,,,,,
"2ILJ7","2017-09-15T06:00:00","23.10","-111.40",,,"1","6","2","5","7","3",,"1",,"320","4","67","1","97","1","2","10110",,,"8","261",,"245","238","1","290","1","1","1","5","4","1",,,,,,,"238","31","798","172","5","1","2","1","111111","11111111111AAA","5",,"2",,,,,,
"CQCU","2017-09-15T06:00:00","24.60","-118.40",,,"1","6","2","5","3","4",,"1",,"30","4","72","1","98","0","0","10152","0","5","8","220",,"196","184","3","230","3","2","1","4","6","A",,,,,,,"238","48","798","172","5","1","2","1","111111","11111111111AA1","5",,"0",,,,,,
"OWNT2","2017-09-15T06:00:00","23.10","-111.70",,,"1","6","2","5","3","4",,"1",,"320","4","67","1","98","2","1","10116","1","3","8","250",,"238","232","1","289","0","0","0","9","0","0",,"3","1","19","10","4","238","31","798","172","5","1","2","1","111111","11111111111111","5",,"1",,,,,,
"CQCU","2017-09-15T09:00:00","24.00","-117.70",,,"1","6","2","5","3","4",,"1",,"20","4","67","1","98","2","0","10137","7","11","8","220",,"200","190","3","220","3","2","1","3","4","5",,,,,,,"238","47","798","172","5","1","2","1","111111","11111111111AA1","5",,"0",,,,,,
"A8LL9","2017-09-15T12:00:00","23.10","-116.80",,,"1","6","2","5","3","4",,"1",,"10","4","82","1","98","3",,"10135","7","20","8","230",,"200","185","3","259","2","2","4","5","A","A",,"3","1","18","10","3","238","36","798","172","5","1","2","1","111111","1111A111111111","5",,,,,,,,
"CQCU","2017-09-15T12:00:00","23.40","-117.00",,,"1","6","2","5","3","4",,"1",,"350","4","82","1","98","3","0","10128","6","11","8","230",,"205","193","3","240","6","4","7","1","0","0",,"5","2","35","12","3","238","37","798","172","5","1","2","1","111111","11111111111111","5",,"0",,,,,,
"VRLN5","2017-09-15T12:00:00","24.00","-117.70",,,"1","6","2","5","3","4",,"1",,"340",,"57","1","98","2","2","10140","4","0","8","210",,"185","172",,"245",,,,,,,,,,,,,"238","47","798","172","5","1","2","1","111111","1111111111AAA1","5",,"2",,,,,,
"CQCU","2017-09-15T15:00:00","22.40","-116.00",,,"1","4","0","0","3","4",,"1","0","10","4","93",,"98","3","2","10137","3","9","0","235","0","205","191","3","210","7","7","5","5","4","A",,"3","2","38","5","4","238","26","992","114","5","1","2","2","111111","11111111111111",,"1","2",,,,,,"4"
"2ILJ7","2017-09-15T18:00:00","24.90","-114.00",,,"1","6","2","5","7","3",,"1",,"340","4","98","1","97","1","2","10120","3","10","8","245",,"215","199","1","280","2","2","4","6","6","5",,"10","5","36","8","5","238","44","798","172","5","1","2","2","111111","11111111111111","5",,"2",,,,,,
"CQCU","2017-09-15T18:00:00","22.20","-115.60",,,"1","6","2","5","3","4",,"1",,"360","4","77","1","98","3","2","10142","2","4","8","260",,"225","210","3","250","6","5","4","4","6","A",,,,"18","6","4","238","25","798","172","5","1","2","2","111111","11111111111A11","5",,"2",,,,,,
"CQIB5","2017-09-15T18:00:00","22.00","-111.90",,,"1","6","2","5","7","3",,"1",,"60","4","57","1","98","1","0","10120","1","10","8","320",,"270","250","1","280","3","3","1","6","4","1",,"5","2",,,,"238","21","798","172","5","1","2","2","111111","111111111111A1","5",,"0",,,,,,
