"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"4100544","2017-09-01T02:00:00","28.87","-72.99",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","296",,,,,,,,,,,,,"242","82","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4100545","2017-09-01T02:00:00","27.82","-71.82",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","71","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4100730","2017-09-01T02:00:00","28.81","-72.84",,,"1","4","2","5",,,,"11",,,,,,,,,"10187",,,"8",,,,,,"9","295",,,,,,,,,,,,,"242","82","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"4101540","2017-09-01T02:00:00","28.44","-78.53",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","305",,,,,,,,,,,,,"242","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101545","2017-09-01T02:00:00","28.79","-75.11",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","292",,,,,,,,,,,,,"242","85","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101547","2017-09-01T02:00:00","27.56","-78.02",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","296",,,,,,,,,,,,,"242","78","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101548","2017-09-01T02:00:00","27.80","-78.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","303",,,,,,,,,,,,,"242","78","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101550","2017-09-01T02:00:00","28.51","-77.83",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,,"242","87","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4201518","2017-09-01T02:00:00","26.31","-79.86",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,,"242","69","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4400863","2017-09-01T02:00:00","29.50","-76.90",,,"1","4","2","5",,,,"11",,,,,,,,,"10173",,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","96","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
